year,exporter,exporter_iso3,importer,importer_iso3,trade_value_usd
2019,France,FRA,"China, Hong Kong SAR",HKG,326913756.965
2019,France,FRA,Hungary,HUN,11371439.063
2019,France,FRA,Iceland,ISL,3164999.387
2019,France,FRA,Indonesia,IDN,6357053.487
2019,France,FRA,Iran,IRN,7793635.867
2019,France,FRA,Iraq,IRQ,7289337.105
2019,France,FRA,Ireland,IRL,25124678.079
2019,France,FRA,Israel,ISR,51974901.317
2019,France,FRA,Italy,ITA,625073198.317
2019,France,FRA,Côte d'Ivoire,CIV,4518905.012
2019,France,FRA,Jamaica,JAM,5.598
2019,France,FRA,Japan,JPN,214093997.95
2019,France,FRA,Kazakhstan,KAZ,12421160.555
2019,France,FRA,Jordan,JOR,12889262.835
2019,France,FRA,Kenya,KEN,842714.428
2019,France,FRA,Rep. of Korea,KOR,354019351.876
2019,France,FRA,Kuwait,KWT,29236618.147
2019,France,FRA,Kyrgyzstan,KGZ,454064.373
2019,France,FRA,Lao People's Dem. Rep.,LAO,10532.349
2019,France,FRA,Lebanon,LBN,29124074.171
2019,France,FRA,Latvia,LVA,14491709.277
2019,France,FRA,Libya,LBY,4584771.66
2019,France,FRA,Lithuania,LTU,13254453.306
2019,France,FRA,Luxembourg,LUX,17704495.544
2019,France,FRA,"China, Macao SAR",MAC,1202415.359
2019,France,FRA,Madagascar,MDG,2113922.025
2019,France,FRA,Malaysia,MYS,16051135.099
2019,France,FRA,Maldives,MDV,3749189.268
2019,France,FRA,Mali,MLI,1578670.003
2019,France,FRA,Malta,MLT,5733643.007
2019,France,FRA,Mauritania,MRT,1000415.275
2019,France,FRA,Mauritius,MUS,9855374.229
2019,France,FRA,Mexico,MEX,97138217.889
2019,France,FRA,"Other Asia, nes",S19,75575136.378
2019,France,FRA,Mongolia,MNG,2017747.023
2019,France,FRA,Rep. of Moldova,MDA,1393862.94
2019,France,FRA,Montenegro,MNE,312015.937
2019,France,FRA,Morocco,MAR,41803684.259
2019,France,FRA,Mozambique,MOZ,128949.897
2019,France,FRA,Oman,OMN,5045047.733
2019,France,FRA,Namibia,NAM,56559.173
2019,France,FRA,Nepal,NPL,45720.045
2019,France,FRA,Netherlands,NLD,110021079.805
2019,France,FRA,Curaçao,CUW,908658.33
2019,France,FRA,Aruba,ABW,280197.204
2019,France,FRA,Saint Maarten,SXM,745330.228
2019,France,FRA,New Caledonia,NCL,6252603.308
2019,France,FRA,Vanuatu,VUT,30049.72
2019,France,FRA,New Zealand,NZL,6067699.958
2019,France,FRA,Nicaragua,NIC,240828.813
2019,France,FRA,Niger,NER,83849.007
2019,France,FRA,Nigeria,NGA,6963296.697
2019,France,FRA,"Other Africa, nes",F19,2067.955
2019,France,FRA,Norway,NOR,21728568.257
2019,France,FRA,Pakistan,PAK,618344.159
2019,France,FRA,Panama,PAN,22853308.243
2019,France,FRA,Papua New Guinea,PNG,2061.237
2019,France,FRA,Paraguay,PRY,2660534.921
2019,France,FRA,Peru,PER,7678635.426
2019,France,FRA,Philippines,PHL,3271672.029
2019,France,FRA,Pitcairn,PCN,5089.833
2019,France,FRA,Poland,POL,166989430.758
2019,France,FRA,Portugal,PRT,67673487.674
2019,France,FRA,Guinea-Bissau,GNB,153669.064
2019,France,FRA,Qatar,QAT,31051042.805
2019,France,FRA,Romania,ROU,47254155.208
2019,France,FRA,Russian Federation,RUS,240798073.79
2019,France,FRA,Rwanda,RWA,29389.138
2019,France,FRA,Saint Barthélemy,BLM,1436995.523
2019,France,FRA,Saint Lucia,LCA,16.794
2019,France,FRA,Saint Pierre and Miquelon,SPM,123631.66
2019,France,FRA,San Marino,SMR,137764.736
2019,France,FRA,Sao Tome and Principe,STP,463.526
2019,France,FRA,Saudi Arabia,SAU,54719862.972
2019,France,FRA,Senegal,SEN,9379312.508
2019,France,FRA,Serbia,SRB,9519886.392
2019,France,FRA,Seychelles,SYC,173165.161
2019,France,FRA,Sierra Leone,SLE,10653.269
2019,France,FRA,India,IND,13113734.99
2019,France,FRA,Singapore,SGP,1184838915.427
2019,France,FRA,Slovakia,SVK,7367899.225
2019,France,FRA,Viet Nam,VNM,39220935.555
2019,France,FRA,Slovenia,SVN,7187076.921
2019,France,FRA,Somalia,SOM,118715.37
2019,France,FRA,South Africa,ZAF,33740908.643
2019,France,FRA,Spain,ESP,536736425.6
2019,France,FRA,South Sudan,SSD,7417.541
2019,France,FRA,Sudan,SDN,131713.141
2019,France,FRA,Suriname,SUR,517.269
2019,France,FRA,Sweden,SWE,58084420.533
2019,France,FRA,Switzerland,CHE,180624763.896
2019,France,FRA,Tajikistan,TJK,79093.943
2019,France,FRA,Thailand,THA,29693487.19
2019,France,FRA,Togo,TGO,1690453.75
2019,France,FRA,Trinidad and Tobago,TTO,3456.294
2019,France,FRA,United Arab Emirates,ARE,249642873.232
2019,France,FRA,Tunisia,TUN,29622067.183
2019,France,FRA,Türkiye,TUR,107057904.72
2019,France,FRA,Turkmenistan,TKM,55285.035
2019,France,FRA,Uganda,UGA,121592.816
2019,France,FRA,Ukraine,UKR,44006457.792
2019,France,FRA,North Macedonia,MKD,991896.019
2019,France,FRA,Egypt,EGY,23459557.052
2019,France,FRA,United Kingdom,GBR,560120499.511
2019,France,FRA,United Rep. of Tanzania,TZA,31532.108
2019,France,FRA,USA,USA,882757782.467
2019,France,FRA,Burkina Faso,BFA,868062.826
2019,France,FRA,Uruguay,URY,10799455.377
2019,France,FRA,Uzbekistan,UZB,1047763.261
2019,France,FRA,Venezuela,VEN,163573.301
2019,France,FRA,Wallis and Futuna Isds,WLF,215603.575
2019,France,FRA,Yemen,YEM,239277.008
2019,France,FRA,Zambia,ZMB,5288.007
2019,France,FRA,"Areas, nes",_X ,3697764.713
2020,France,FRA,Afghanistan,AFG,409073.278
2020,France,FRA,Albania,ALB,822942.127
2020,France,FRA,Algeria,DZA,40834865.607
2020,France,FRA,American Samoa,ASM,14041.96
2020,France,FRA,Andorra,AND,6190568.684
2020,France,FRA,Angola,AGO,587172.259
2020,France,FRA,Azerbaijan,AZE,3557136.948
2020,France,FRA,Argentina,ARG,25096410.586
2020,France,FRA,Australia,AUS,105841964.82
2020,France,FRA,Austria,AUT,39234843.811
2020,France,FRA,Bahamas,BHS,7259.693
2020,France,FRA,Bahrain,BHR,4355795.58
2020,France,FRA,Bangladesh,BGD,1165823.709
2020,France,FRA,Armenia,ARM,1386531.981
2020,France,FRA,Barbados,BRB,154.851
2020,France,FRA,Belgium,BEL,210674131.945
2020,France,FRA,Bermuda,BMU,34427.959
2020,France,FRA,Bhutan,BTN,98.145
2020,France,FRA,Bolivia (Plurinational State of),BOL,1403678.462
2020,France,FRA,Bosnia Herzegovina,BIH,693075.803
2020,France,FRA,Botswana,BWA,218.1
2020,France,FRA,Brazil,BRA,41512683.748
2020,France,FRA,Belize,BLZ,168.819
2020,France,FRA,Brunei Darussalam,BRN,11954.817
2020,France,FRA,Bulgaria,BGR,16098819.343
2020,France,FRA,Myanmar,MMR,943468.274
2020,France,FRA,Burundi,BDI,26483.824
2020,France,FRA,Belarus,BLR,3230304.487
2020,France,FRA,Cambodia,KHM,1449912.425
2020,France,FRA,Cameroon,CMR,3635394.477
2020,France,FRA,Canada,CAN,137242502.363
2020,France,FRA,Cabo Verde,CPV,20381.658
2020,France,FRA,Cayman Isds,CYM,51430.206
2020,France,FRA,Central African Rep.,CAF,71610.067
2020,France,FRA,Sri Lanka,LKA,277055.441
2020,France,FRA,Chad,TCD,234130.916
2020,France,FRA,Chile,CHL,30545269.956
2020,France,FRA,China,CHN,1419741588.443
2020,France,FRA,Colombia,COL,11588616.606
2020,France,FRA,Comoros,COM,248016.023
2020,France,FRA,Congo,COG,1654324.454
2020,France,FRA,Dem. Rep. of the Congo,COD,394299.812
2020,France,FRA,Costa Rica,CRI,984071.771
2020,France,FRA,Croatia,HRV,26273780.274
2020,France,FRA,Cuba,CUB,6218.031
2020,France,FRA,Cyprus,CYP,6606930.338
2020,France,FRA,Czechia,CZE,68627726.657
2020,France,FRA,Benin,BEN,1818427.681
2020,France,FRA,Denmark,DNK,65086848.444
2020,France,FRA,Dominican Rep.,DOM,2086615.235
2020,France,FRA,Ecuador,ECU,3111081.908
2020,France,FRA,El Salvador,SLV,562089.021
2020,France,FRA,Equatorial Guinea,GNQ,84174.409
2020,France,FRA,Ethiopia,ETH,109603.283
2020,France,FRA,Estonia,EST,7012145.1
2020,France,FRA,Faroe Isds,FRO,7842.411
2020,France,FRA,Fiji,FJI,21104.61
2020,France,FRA,Finland,FIN,12525214.259
2020,France,FRA,French Polynesia,PYF,3511698.302
2020,France,FRA,Djibouti,DJI,964472.364
2020,France,FRA,Gabon,GAB,2598668.742
2020,France,FRA,Georgia,GEO,8928698.106
2020,France,FRA,Gambia,GMB,4497.558
2020,France,FRA,State of Palestine,PSE,309428.132
2020,France,FRA,Germany,DEU,632244630.188
2020,France,FRA,Ghana,GHA,1077844.796
2020,France,FRA,Gibraltar,GIB,311001.003
2020,France,FRA,Greece,GRC,63034049.525
2020,France,FRA,Greenland,GRL,358.774
2020,France,FRA,Guam,GUM,7809.803
2020,France,FRA,Guatemala,GTM,1342632.245
2020,France,FRA,Guinea,GIN,632984.761
2020,France,FRA,Haiti,HTI,461910.771
2020,France,FRA,Holy See (Vatican City State),VAT,166504.08
2020,France,FRA,Honduras,HND,546836.789
2020,France,FRA,"China, Hong Kong SAR",HKG,451222819.51
2020,France,FRA,Hungary,HUN,11585115.974
2020,France,FRA,Iceland,ISL,2428201.392
2020,France,FRA,Indonesia,IDN,3348305.355
2020,France,FRA,Iran,IRN,2957988.863
2020,France,FRA,Iraq,IRQ,7606025.237
2020,France,FRA,Ireland,IRL,18264375.675
2020,France,FRA,Israel,ISR,33113118.158
2020,France,FRA,Italy,ITA,510406634.738
2020,France,FRA,Côte d'Ivoire,CIV,4840779.82
2020,France,FRA,Jamaica,JAM,36668.278
2020,France,FRA,Japan,JPN,193764879.244
